,Daily Global Risk Appetite,Equity-Only Risk Appetite,US Credit Risk Appetite (New)
01/01/1981,4.11,4.09,NA
02/01/1981,4.36,4.34,NA
05/01/1981,4.53,4.47,NA
06/01/1981,4.39,4.34,NA
07/01/1981,3.68,3.81,NA
08/01/1981,3.21,3.36,NA
09/01/1981,3.28,3.47,NA
12/01/1981,3.25,3.43,NA
13/01/1981,3.04,3.25,NA
14/01/1981,3.14,3.33,NA
15/01/1981,3.56,3.65,NA
16/01/1981,3.82,3.81,NA
19/01/1981,4.04,4.06,NA
20/01/1981,3.78,3.83,NA
21/01/1981,3.36,3.49,NA
22/01/1981,3.62,3.85,NA
23/01/1981,3.63,3.89,NA
26/01/1981,3.77,4.05,NA
27/01/1981,3.96,4.17,NA
28/01/1981,3.91,4.17,NA
29/01/1981,3.91,4.17,NA
30/01/1981,3.96,4.04,NA
02/02/1981,3.39,3.57,NA
03/02/1981,3.5,3.51,NA
04/02/1981,3.41,3.41,NA
05/02/1981,3.92,3.89,NA
06/02/1981,4.12,4.04,NA
09/02/1981,4.13,4.11,NA
10/02/1981,4.2,4.02,NA
11/02/1981,3.88,3.76,NA
12/02/1981,3.72,3.63,NA
13/02/1981,3.86,3.86,NA
16/02/1981,3.78,3.81,NA
17/02/1981,3.78,3.78,NA
18/02/1981,4.26,4.23,NA
19/02/1981,3.85,3.9,NA
20/02/1981,3.71,3.7,NA
23/02/1981,3.66,3.66,NA
24/02/1981,3.83,3.83,NA
25/02/1981,4.18,4.12,NA
26/02/1981,4.29,4.18,NA
27/02/1981,4.5,4.31,NA
02/03/1981,4.48,4.31,NA
03/03/1981,4.13,3.95,NA
04/03/1981,4.09,3.91,NA
05/03/1981,3.9,3.68,NA
06/03/1981,3.96,3.74,NA
09/03/1981,3.87,3.61,NA
10/03/1981,3.63,3.45,NA
11/03/1981,3.42,3.27,NA
12/03/1981,3.87,3.59,NA
13/03/1981,3.62,3.37,NA
16/03/1981,3.55,3.2,NA
17/03/1981,3.36,3.05,NA
18/03/1981,3.45,3.11,NA
19/03/1981,3.23,2.98,NA
20/03/1981,3.39,3.05,NA
23/03/1981,3.3,2.93,NA
24/03/1981,2.98,2.69,NA
25/03/1981,3.35,2.97,NA
26/03/1981,3.51,3.16,NA
27/03/1981,3.31,3.06,NA
30/03/1981,3.26,2.82,NA
31/03/1981,3.19,2.68,NA
01/04/1981,3.16,2.63,NA
02/04/1981,3.11,2.59,NA
03/04/1981,3.1,2.64,NA
06/04/1981,2.69,2.35,NA
07/04/1981,2.33,1.94,NA
08/04/1981,2.01,1.54,NA
09/04/1981,1.97,1.41,NA
10/04/1981,1.86,1.33,NA
13/04/1981,1.38,0.88,NA
14/04/1981,1.24,0.73,NA
15/04/1981,1.49,0.91,NA
16/04/1981,1.7,1.13,NA
17/04/1981,1.62,1.01,NA
20/04/1981,1.83,1.14,NA
21/04/1981,1.7,1.06,NA
22/04/1981,1.37,0.66,NA
23/04/1981,1.47,0.76,NA
24/04/1981,1.65,0.9,NA
27/04/1981,1.48,0.71,NA
28/04/1981,1.12,0.38,NA
29/04/1981,0.95,0.29,NA
30/04/1981,0.65,-0.06,NA
01/05/1981,0.67,-0.03,NA
04/05/1981,0.2,-0.39,NA
05/05/1981,0.05,-0.59,NA
06/05/1981,0.28,-0.35,NA
07/05/1981,0.5,-0.13,NA
08/05/1981,0.39,-0.22,NA
11/05/1981,-0.07,-0.59,NA
12/05/1981,-0.3,-0.84,NA
13/05/1981,-0.72,-1.19,NA
14/05/1981,-0.7,-1.2,NA
15/05/1981,-0.91,-1.41,NA
18/05/1981,-1.01,-1.44,NA
19/05/1981,-0.29,-0.62,NA
20/05/1981,0.06,-0.28,NA
21/05/1981,0.24,-0.11,NA
22/05/1981,0.15,-0.2,NA
25/05/1981,0.04,-0.34,NA
26/05/1981,-0.05,-0.5,NA
27/05/1981,0.38,-0.09,NA
28/05/1981,0.6,0.18,NA
29/05/1981,0.49,0.12,NA
01/06/1981,0.22,-0.15,NA
02/06/1981,0.4,0.07,NA
03/06/1981,0.59,0.25,NA
04/06/1981,0.62,0.25,NA
05/06/1981,0.77,0.32,NA
08/06/1981,1,0.6,NA
09/06/1981,1.08,0.74,NA
10/06/1981,0.9,0.48,NA
11/06/1981,0.48,-0.04,NA
12/06/1981,-0.05,-0.53,NA
15/06/1981,-0.59,-1.09,NA
16/06/1981,-0.94,-1.32,NA
17/06/1981,-0.73,-1.2,NA
18/06/1981,-0.61,-1.01,NA
19/06/1981,-1.05,-1.5,NA
22/06/1981,-1.53,-1.89,NA
23/06/1981,-1.5,-1.93,NA
24/06/1981,-0.82,-1.23,NA
25/06/1981,-0.65,-1.06,NA
26/06/1981,-0.75,-1.15,NA
29/06/1981,-0.85,-1.24,NA
30/06/1981,-0.94,-1.31,NA
01/07/1981,-1.05,-1.39,NA
02/07/1981,-1.33,-1.61,NA
03/07/1981,-1.63,-1.91,NA
06/07/1981,-2.02,-2.23,NA
07/07/1981,-1.92,-2.18,NA
08/07/1981,-2.05,-2.38,NA
09/07/1981,-2.11,-2.5,NA
10/07/1981,-2.2,-2.59,NA
13/07/1981,-2.7,-3.09,NA
14/07/1981,-2.42,-2.84,NA
15/07/1981,-1.97,-2.43,NA
16/07/1981,-2.06,-2.55,NA
17/07/1981,-2.21,-2.72,NA
20/07/1981,-2.39,-2.83,NA
21/07/1981,-2.39,-2.81,NA
22/07/1981,-2.78,-3.15,NA
23/07/1981,-3.12,-3.45,NA
24/07/1981,-3.32,-3.66,NA
27/07/1981,-3.06,-3.44,NA
28/07/1981,-2.63,-3,NA
29/07/1981,-2.51,-2.89,NA
30/07/1981,-2.42,-2.86,NA
31/07/1981,-2.26,-2.73,NA
03/08/1981,-1.97,-2.47,NA
04/08/1981,-1.95,-2.47,NA
05/08/1981,-2.29,-2.85,NA
06/08/1981,-2.1,-2.64,NA
07/08/1981,-2.23,-2.76,NA
10/08/1981,-2.39,-2.92,NA
11/08/1981,-2.67,-3.21,NA
12/08/1981,-2.63,-3.19,NA
13/08/1981,-2.42,-2.97,NA
14/08/1981,-2.3,-2.85,NA
17/08/1981,-2.22,-2.7,NA
18/08/1981,-1.92,-2.36,NA
19/08/1981,-1.93,-2.39,NA
20/08/1981,-2.03,-2.45,NA
21/08/1981,-1.89,-2.26,NA
24/08/1981,-1.77,-2.05,NA
25/08/1981,-1.81,-2.1,NA
26/08/1981,-1.72,-2.01,NA
27/08/1981,-1.77,-2.01,NA
28/08/1981,-1.7,-1.94,NA
31/08/1981,-1.63,-1.85,NA
01/09/1981,-1.65,-1.84,NA
02/09/1981,-1.59,-1.78,NA
03/09/1981,-1.78,-1.91,NA
04/09/1981,-1.93,-2,NA
07/09/1981,-1.82,-1.86,NA
08/09/1981,-1.74,-1.73,NA
09/09/1981,-1.74,-1.69,NA
10/09/1981,-1.87,-1.81,NA
11/09/1981,-1.85,-1.75,NA
14/09/1981,-1.94,-1.79,NA
15/09/1981,-2.07,-1.85,NA
16/09/1981,-1.97,-1.72,NA
17/09/1981,-2.21,-1.88,NA
18/09/1981,-2.36,-1.96,NA
21/09/1981,-2.7,-2.23,NA
22/09/1981,-2.49,-2.03,NA
23/09/1981,-2.51,-2.03,NA
24/09/1981,-2.11,-1.58,NA
25/09/1981,-1.92,-1.33,NA
28/09/1981,-1.91,-1.32,NA
29/09/1981,-1.93,-1.45,NA
30/09/1981,-1.72,-1.23,NA
01/10/1981,-1.67,-1.14,NA
02/10/1981,-1.77,-1.24,NA
05/10/1981,-2.14,-1.6,NA
06/10/1981,-2.28,-1.68,NA
07/10/1981,-2.36,-1.8,NA
08/10/1981,-2.07,-1.51,NA
09/10/1981,-2.09,-1.41,NA
12/10/1981,-2.19,-1.49,NA
13/10/1981,-2.31,-1.57,NA
14/10/1981,-2.33,-1.46,NA
15/10/1981,-2.47,-1.57,NA
16/10/1981,-2.4,-1.44,NA
19/10/1981,-2.42,-1.39,NA
20/10/1981,-2.52,-1.59,NA
21/10/1981,-2.39,-1.5,NA
22/10/1981,-2.33,-1.39,NA
23/10/1981,-2.31,-1.31,NA
26/10/1981,-2.18,-1.18,NA
