"Index" "MSFUCDIS" "MSFUCSTA" "MSFUENR" "MSFUFNCL" "MSFUHC" "MSFUIND" "MSFUIT" "MSFUMAT" "MSFUTEL" "MSFUUTI"
2000-01-31 207.578 123.834 182.163 152.456 163.079 121.01 255.775 165.623 168.374 123.281
2000-02-29 212.102 118.816 174.827 151.995 176.461 111.965 267.755 153.989 195.287 115.489
2000-03-31 208.134 114.286 192.27 146.816 162.154 110.348 280.769 154.233 192.741 123.588
2000-04-28 194.234 106.35 180.339 137.321 153.612 100.541 240.895 141.574 165.771 118.436
2000-05-31 177.965 103.89 170.413 132.948 156.523 96.035 228.564 137.216 157.058 113.227
2000-06-30 182.626 109.948 176.909 130.383 161.824 95.988 244.386 138.64 165.837 117.254
2000-07-31 175.564 107.27 174.129 127.434 162.185 95.16 215.543 138.923 148.064 119.33
2000-08-31 176.283 107.23 197.762 126.783 167.479 90.489 221.889 139.412 143.841 117.346
2000-09-29 153.153 102.609 179.165 120.508 176.377 82.051 186.079 129.575 133.052 107.461
2000-10-31 144.848 98.994 169.923 113.013 160.706 77.152 158.567 120.28 125.946 102.105
2000-11-30 128.674 96.598 146.52 104.255 165.349 72.378 140.813 114.393 110.107 93.551
2000-12-29 126.031 103.082 148.491 112.555 173.872 73.392 130.856 120.266 113.768 95.656
2001-01-31 140.753 108.955 168.936 128.065 154.961 79.594 167.139 132.069 129.145 106.521
2001-02-28 129.215 105.303 160.212 117.55 164.205 75.89 142.063 134.067 111.918 101.626
2001-03-30 118.3 98.623 147.209 103.908 147.917 69.375 128.465 121.209 95.411 92.813
2001-04-30 123.986 101.302 161.311 108.525 142.688 69.877 133.306 127.063 104.605 91.296
2001-05-31 130.237 100.066 175.309 110.44 136.472 71.251 127.711 133.895 104.105 86.945
2001-06-29 129.476 100.491 164.336 110.776 142.582 69.917 118.986 126.971 103.779 86.847
2001-07-31 121.391 98.79 152.339 101.496 154.137 66.464 111.161 113.393 96.014 85.791
2001-08-31 121.85 98.069 155.04 104.733 154.468 64.593 104.727 117.951 88.034 87.988
2001-09-28 100.735 85.115 136.578 88.5 137.692 54.366 76.359 100.78 78.598 77.01
2001-10-31 108.691 87.493 145.321 92.037 148.456 57.404 91.247 104.687 81.329 77.56
2001-11-30 121.285 91.148 146.564 101.225 146.217 61.322 112.78 114.806 89.073 87.133
2001-12-31 130.592 94.576 162.094 107.717 146.469 63.809 134.217 121.386 91.866 91.479
2002-01-31 142.127 97.129 164.217 113.04 151.473 67.114 138.241 131.02 88.731 91.75
2002-02-28 148.456 99.729 168.704 112.526 145.322 68.007 136.532 140.651 88.791 92.556
2002-03-29 163.927 102.295 185.055 115.011 148.918 71.963 151.27 144.689 92.342 95.358
2002-04-30 175.445 104.446 187.741 119.226 146.611 72.107 145.575 145.726 90.322 94.333
2002-05-31 165.096 100.664 186.488 118.531 158.146 70.839 136.686 153.672 87.518 89.233
2002-06-28 157.892 94.718 170.292 109.047 157.853 67.852 124.614 142.029 79.077 80.651
2002-07-31 150.862 87.305 147.993 102.216 152.068 65.349 118.276 124.139 72.204 73.75
2002-08-30 150.678 89.251 160.461 103.219 154.46 64.618 116.637 125.671 74.84 74.603
2002-09-30 128.456 81.936 149.58 88.839 152.707 56.9 100.414 117.997 66.58 65.598
2002-10-31 136.795 85.002 158.373 93.956 160.158 59.62 111.28 125.132 69.857 67.887
2002-11-29 149.343 88.834 159.429 101.006 171.01 62.718 121.542 133.34 75.392 70.377
2002-12-31 138.802 88.196 163.139 98.637 169.796 61.773 103.933 139.081 72.677 72.398
2003-01-31 139.353 84.646 158.891 100.544 171.108 64.271 103.717 138.854 69.362 71.171
2003-02-28 136.213 83.528 164.658 95.736 169.538 62.394 96.561 136.215 65.767 71.651
2003-03-31 130.792 82.792 161.726 89.453 183.839 60.847 93.521 129.418 64.638 72.727
2003-04-30 143.233 92.207 184.764 98.549 203.567 63.451 97.48 132.906 72.148 83.238
2003-05-30 153.581 96.535 197.516 102.906 212.533 68.158 106.715 142.418 77.452 90.421
2003-06-30 166.797 101.097 205.789 106.784 243.873 71.298 117.203 148.016 80.002 92.825
2003-07-31 179.816 101.976 204.235 110.142 244.581 75.4 136.161 161.141 82.281 95.841
2003-08-29 191.795 102.638 226.864 116.915 259.49 80.352 145.167 175.597 84.303 102.667
2003-09-30 188.043 105.686 233.514 117.879 252.887 81.382 140.738 177.56 86.163 107.843
2003-10-31 210.54 109.673 239.65 129.158 263.406 92.412 153.662 193.796 93.607 115.304
2003-11-28 218.465 112.255 245.418 128.954 273.615 94.101 148.327 200.528 94.602 118.137
2003-12-31 233.793 118.57 287.432 138.76 272.517 98.869 149.557 219.981 100.815 127.19
2004-01-30 235.718 121.051 288.73 141.867 285.982 101.111 168.643 217.31 106.366 122.044
2004-02-27 244.046 126.756 306.77 149.62 291.808 108.373 171.4 229.693 110.295 127.708
2004-03-31 250.884 124.403 324.376 150.994 286.619 107.151 174.524 229.149 108.909 127.685
2004-04-30 230.867 117.296 288.988 139.786 290.628 97.855 166.048 194.246 100.883 118.366
2004-05-31 218.99 114.228 276.563 137.394 285.706 96.573 156.359 199.302 100.886 113.861
2004-06-30 218.697 117.142 277.828 138.784 291.586 99.221 149.516 199.198 104.077 114.283
2004-07-30 215.194 118.04 283.4 135.866 262.827 98.352 132.858 206.631 100.715 118.931
2004-08-31 227.811 120.214 294.199 139.778 253.879 101.845 141.701 219.632 101.848 121.41
2004-09-30 241.931 126.419 324.448 149.465 251.37 106.838 141.587 234.35 106.864 132.382
2004-10-29 251.589 130.792 333.297 157.687 251.555 110.895 142.004 226.886 111.496 136.919
2004-11-30 276.767 142.166 345.389 176.624 270.045 121.475 152.921 250.435 124.5 146.966
2004-12-31 292.277 147.012 348.983 187.871 290.816 128.007 161.466 258.984 131.576 149.793
2005-01-31 295.098 146.18 347.344 188.29 278.37 129.508 165.079 256.224 129.943 147.784
2005-02-28 308.391 154.917 404.685 204.054 293.562 137.294 176.973 285.556 137.832 159.257
2005-03-31 283.221 149.96 376.003 187.099 293.485 129.65 166.999 264.217 127.478 147.236
2005-04-29 276.741 151.024 368.594 180.695 289.028 126.634 159.502 244.18 125.542 154.914
2005-05-31 284.884 154.06 380.926 181.97 307.577 126.95 172.138 245.991 131.182 157.619
2005-06-30 289.019 161.889 414.764 188.155 301.843 129.223 173.577 253.2 133.893 164.293
2005-07-29 317.304 171.163 448.266 202.841 310.424 137.019 184.151 265.365 141.826 173.111
2005-08-31 309.115 171.797 493.503 203.934 312.9 136.461 174.79 271.956 141.076 175.902
2005-09-30 336.548 186.392 558.085 219.002 330.9 146.73 183.689 309.642 154.278 194.855
2005-10-31 317.478 176.5 497.035 206.244 338.634 136.492 171.712 289.074 145.702 182.1
2005-11-30 350.012 190.066 524.212 226.527 374.828 146.628 190.38 307.542 155.181 193.463
2005-12-30 381.101 197.001 548.633 240.595 393.283 156.119 209.087 319.742 158.922 197.018
2006-01-31 400.899 216.023 669.17 266.504 405.384 166.398 224.805 370.066 169.716 220.412
2006-02-28 395.58 222.881 665.555 271.178 405.251 171.292 215.223 361.854 170.654 231.978
2006-03-31 398.434 225.071 680.564 269.085 405.537 174.986 212.891 378.012 169.649 229.584
2006-04-28 415.19 234.822 757.492 286.386 411.238 189.475 226.977 404.635 178.76 243.214
2006-05-31 361.447 210.869 666.705 254.49 360.546 167.92 208.826 364.582 158.856 213.64
2006-06-30 352.521 211.384 680.588 250.335 328.011 166.819 202.579 374.744 158.414 217.818
2006-07-31 346.185 216.435 695.338 257.482 337.875 169.318 197.132 368.955 167.141 222.749
2006-08-31 360.612 222.956 698.128 258.758 356.488 176.327 210.357 364.358 172.743 228.652
2006-09-29 370.251 226.05 654.517 265.96 350.531 181.526 216.388 362.192 180.656 232.192
2006-10-31 389.573 236.327 677.615 282.068 349.402 192.245 214.918 391.222 194.552 241.763
2006-11-30 405.743 250.593 736.556 302.891 354.51 202.795 232.654 426.091 207.012 262.796
2006-12-29 422.595 266.177 760.04 328.815 356.304 210.724 231.814 441.499 218.011 282.13
2007-01-31 428.428 265.745 710.901 322.869 372.955 212.129 224.455 454.659 219.616 284.341
2007-02-28 428.312 256.161 686.136 319.998 368.916 219.988 223.564 467.692 215.597 276.609
2007-03-30 441.209 269.313 723.429 330.592 382.219 229.057 220.017 496.657 226.563 287.978
2007-04-30 450.221 287.573 719.372 347.652 401.689 253.301 225.419 525.745 238.37 309.369
2007-05-31 470.943 304.034 740.064 358.121 411.771 285.656 228.325 559.864 250.073 326.032
2007-06-29 479.668 301.113 807.137 372.353 420.808 294.367 243.441 575.948 259.928 342.831
2007-07-31 488.943 301.182 855.779 399.27 426.629 322.016 250.005 616.502 263.88 345.265
2007-08-31 462.403 295.508 828.186 381.976 418.203 317.516 238.135 615.601 274.819 335.479
2007-09-28 498.099 317.547 958.662 419.682 435.307 352.977 248.641 722.872 299.854 363.428
2007-10-31 527.393 341.301 1126.721 472.963 437.204 403.818 260.711 783.448 338.047 387.585
2007-11-30 487.975 321.936 1095.915 428.836 432.08 358.136 235.087 717.539 326.393 371.468
2007-12-31 490.932 330.202 1154.148 424 458.838 351.088 231.514 699.23 327.958 379.19
2008-01-31 436.798 309.231 984.396 363.648 427.493 286.668 205.946 625.929 297.197 334.24
2008-02-29 451.809 324.166 1065.828 379.648 459.453 317.034 220.101 718.213 303.479 353.906
2008-03-31 439.393 313.264 985.072 350.981 437.028 290.923 220.819 680.385 295.597 330.163
2008-04-30 473.388 328.643 1094.014 391.232 454.594 298.494 238.524 731.958 307.604 342.011
2008-05-30 468.032 333.259 1208.025 376.981 442.843 290.435 235.801 772.188 303.125 355.07
2008-06-30 403.527 307.267 1141.617 326.723 442.567 246.006 204.492 707.629 272.685 333.337
2008-07-31 412.246 307.447 993.118 341.27 443.187 249.135 188.665 629.965 273.192 340.938
2008-08-29 393.195 293.325 894.711 316.707 455.012 215.793 184 549.998 252.223 319.902
2008-09-30 329.815 252.331 718.437 263.692 416.176 181.077 153.996 412.051 219.891 265.119
2008-10-31 245.577 198.15 469.154 185.043 358.056 123.968 128.218 276.62 175.476 205.227
2008-11-28 207.753 195.992 418.008 178.296 358.019 113.359 106.024 251.943 170.714 207.462
2008-12-31 229.797 209.559 437.014 194.074 375.23 130.598 111.377 277.572 180.722 214.535
2009-01-30 211.349 198.252 425.257 171.242 353.253 122.126 107.178 272.527 162.165 207.339
2009-02-27 196.765 182.585 414.72 155.64 377.132 107.786 107.097 255.924 151.982 196.548
2009-03-31 233.081 197.124 474.902 181.842 378.144 126.396 128.927 292.777 164.638 211.857
2009-04-30 290.257 221.559 551.261 217.829 387.038 153.689 149.44 342.161 180.597 237.922
2009-05-29 336.034 244.53 689.349 258.29 416.806 177.837 164.681 416.102 197.372 270.13
2009-06-30 341.023 253.407 639.648 265.132 435.947 169.749 158.91 395.304 199.71 276.072
2009-07-31 395.422 280.963 676.882 295.745 473.814 188.697 186.046 442.519 214.027 298.686
2009-08-31 401.854 279.23 668.976 290.809 461.589 184.967 188.09 449.532 212.518 290.92
2009-09-30 435.166 303.085 739.775 322.474 464.012 194.289 208.722 498.288 217.632 306.654
2009-10-30 439.838 313.494 757.701 325.896 465.408 191.273 198.739 506.286 212.308 299.411
2009-11-30 457.534 331.752 787.748 335.936 501.448 193.615 206.952 547.251 218.427 310.043
2009-12-31 489.396 349.262 795.686 342.825 525.685 204.156 227.989 564.691 220.027 324.312
2010-01-29 447.084 332.827 743.193 320.137 524.155 196.338 215.018 525.491 215.226 319.892
2010-02-26 456.518 341.678 739.739 318.756 544.735 198.609 208.461 542.206 215.771 311.822
2010-03-31 494.085 358.947 789.467 350.015 589.075 212.27 227.849 594.636 223.53 328.424
2010-04-30 516.443 362.999 789.407 349.364 559.097 214.513 237.82 595.25 225.642 333.696
2010-05-31 478.53 343.51 707.91 318.734 533.446 190.553 211.481 528.443 212.582 307.119
2010-06-30 479.432 356.146 690.512 318.665 536.321 193.796 204.467 508.74 213.243 310.897
2010-07-30 524.974 381.32 730.137 352.954 548.121 212.475 216.867 554.351 225.269 322.545
2010-08-31 517.067 384.626 708.857 342.101 553.805 213.315 205.346 549.593 222.502 319.609
2010-09-30 598.003 427.021 775.803 378.382 630.415 242.155 228.516 615.264 238.712 339.385
2010-10-29 626.335 437.304 795.663 393.26 650.061 251.391 230.211 631.947 242.99 341.304
2010-11-30 607.749 424.984 772.309 374.513 636.256 244.972 234.434 620.949 234.465 327.673
2010-12-31 633.953 445.686 854.996 392.4 660.54 259.43 259.621 681.204 244.098 340.101
2011-01-31 596.581 411.944 847.819 370.724 604.098 252.824 267.617 670.978 237.948 329.626
2011-02-28 592.789 412.387 896.519 367.543 589.566 235.258 250.881 666.025 236.642 323.772
2011-03-31 643.02 436.824 954.554 393.729 627.137 250.8 254.532 698.318 246.595 347.021
2011-04-29 696.569 462.201 945.409 400.554 642.173 264.467 264.554 719.263 253.192 353.621
2011-05-31 696.45 455.78 896.567 388.244 644.241 254.053 261.119 684.896 247.842 348.401
2011-06-30 693.073 463.538 873.064 382.383 640.408 251.633 244.74 670.042 248.137 348.923
2011-07-29 695.239 466.787 874.777 377.406 637.194 243.865 240.506 668.583 249.813 340.214
2011-08-31 644.45 455.532 773.888 338.714 583.719 214.087 213.48 602.823 246.396 305.807
2011-09-30 557.266 401.919 643.363 281.449 525.475 177.101 201.039 480.76 220.836 262.29
2011-10-31 627.948 445.247 748.27 322.859 552.65 202.476 224.487 551.371 232.909 296.697
2011-11-30 581.185 438.424 718.509 291.116 515.003 182.163 210.093 501.78 229.012 284.994
2011-12-30 568.241 439.247 683.36 292.05 507.295 180.056 215.214 482.277 224.686 284.214
2012-01-31 617.726 458.895 790.615 330.486 560.838 202.804 238.095 554.529 231.04 307.668
2012-02-29 644.68 482.733 833.349 350.452 580.376 220.444 257.942 578.54 241.848 329.191
